linkSCN,junctionSCN,sumoEdgeID,defaultSatFlow,detIds,detRealIds,linkRef,linkOrder,phaseNum,numPhases,GroupSCN,CorridorSCN,SiteID,NumLanes
LINK081,J020,J020_L03,4700,"x,x","x,x",81,3,4,5,GRP003,x,20,2
LINK082,J020,J020_L04,4700,"x,x","x,x",82,4,6,5,GRP003,x,20,2
LINK083,J020,J020_L05,4700,"x,x","x,x",83,5,8,5,GRP003,x,20,2
LINK060,J015,J015_L01,4700,"x,x","x,x",60,1,0,4,GRP004,x,15,2
LINK061,J015,J015_L02,4700,"x,x","x,x",61,2,2,4,GRP004,x,15,2
LINK062,J015,J015_L03,4700,"x,x","x,x",62,3,4,4,GRP004,x,15,2
LINK063,J015,J015_L04,4700,"x,x","x,x",63,4,6,4,GRP004,x,15,2
LINK084,J021,J021_L01,4700,"x,x","x,x",84,1,0,3,GRP004,x,21,2
LINK085,J021,J021_L02,4700,"x,x","x,x",85,2,2,3,GRP004,x,21,2
LINK086,J021,J021_L03,4700,"x,x","x,x",86,3,4,3,GRP004,x,21,2
LINK017,J004,J004_L01,4700,"e1det_J004_L01_01,e1det_J004_L01_02","J004_L01_01,J004_L01_02",17,1,0,3,GRP005,x,4,2
LINK018,J004,J004_L02,4700,"e1det_J004_L02_01,e1det_J004_L02_02","J004_L02_01,J004_L02_02",18,2,2,3,GRP005,x,4,2
LINK019,J004,J004_L03,4700,"e1det_J004_L03_01,e1det_J004_L03_02","J004_L03_01,J004_L03_02",19,3,4,3,GRP005,x,4,2
LINK031,J008,J008_L01,4700,"e1det_J008_L01_01,e1det_J008_L01_02","J008_L01_01,J008_L01_02",31,1,0,4,GRP005,x,8,2
LINK032,J008,J008_L02,4700,"e1det_J008_L02_01,e1det_J008_L02_02","J008_L02_01,J008_L02_02",32,2,2,4,GRP005,x,8,2
LINK033,J008,J008_L03,4700,"e1det_J008_L03_01,e1det_J008_L03_02","J008_L03_01,J008_L03_02",33,3,4,4,GRP005,x,8,2
LINK034,J008,J008_L04,4700,"e1det_J008_L04_01,e1det_J008_L04_02","J008_L04_01,J008_L04_02",34,4,6,4,GRP005,x,8,2
LINK071,J018,J018_L01,4700,"x,x","x,x",71,1,0,4,GRP005,x,18,2
LINK072,J018,J018_L02,4700,"x,x","x,x",72,2,2,4,GRP005,x,18,2
LINK073,J018,J018_L03,4700,"x,x","x,x",73,3,4,4,GRP005,x,18,2
LINK074,J018,J018_L04,4700,"x,x","x,x",74,4,6,4,GRP005,x,18,2
LINK024,J006,J006_L01,4700,"e1det_J006_L01_01,e1det_J006_L01_02","J006_L01_01,J006_L01_02",24,1,0,4,GRP006,x,6,2
LINK025,J006,J006_L02,4700,"e1det_J006_L02_01,e1det_J006_L02_02","J006_L02_01,J006_L02_02",25,2,2,4,GRP006,x,6,2
LINK026,J006,J006_L03,4700,"e1det_J006_L03_01,e1det_J006_L03_02","J006_L03_01,J006_L03_02",26,3,4,4,GRP006,x,6,2
LINK027,J006,J006_L04,4700,"e1det_J006_L04_01,e1det_J006_L04_02","J006_L04_01,J006_L04_02",27,4,6,4,GRP006,x,6,2
LINK028,J007,J007_L01,4700,"e1det_J007_L01_01,e1det_J007_L01_02","J007_L01_01,J007_L01_02",28,1,0,3,GRP007,x,7,2
LINK029,J007,J007_L02,4700,"e1det_J007_L02_01,e1det_J007_L02_02","J007_L02_01,J007_L02_02",29,2,2,3,GRP007,x,7,2
LINK030,J007,J007_L03,4700,"e1det_J007_L03_01,e1det_J007_L03_02","J007_L03_01,J007_L03_02",30,3,4,3,GRP007,x,7,2
LINK052,J013,J013_L01,4700,"x,x","x,x",52,1,0,3,GRP008,x,13,2
LINK053,J013,J013_L02,4700,"x,x","x,x",53,2,2,3,GRP008,x,13,2
LINK054,J013,J013_L03,4700,"x,x","x,x",54,3,4,3,GRP008,x,13,2
LINK064,J016,J016_L01,4700,"x,x","x,x",64,1,0,3,GRP009,x,16,2
LINK065,J016,J016_L02,4700,"x,x","x,x",65,2,2,3,GRP009,x,16,2
LINK066,J016,J016_L03,4700,"x,x","x,x",66,3,4,3,GRP009,x,16,2
